Code	NameZh	CategoryZh	Note
ItFo_Potion_Mana_01	魔法能量精华液	药水	已验证增删
ItAt_Amulet_Brotherhood	兄弟会标志护符	护身符	已验证删除
ItMi_Orenugget	矿石	货币	CT确认
ItAt_Amulet_Dexterity_01	敏捷护符	护身符	THGL候选|item_it_at_amulet_dexterity_01
ItAt_Amulet_Dexterity_02	灵巧护符	护身符	THGL候选|item_it_at_amulet_dexterity_02
ItAt_Amulet_Enlight	启蒙护符	护身符	THGL候选|item_it_at_amulet_enlight
ItAt_Amulet_Fire	火焰护符	护身符	THGL候选|item_it_at_amulet_fire
ItAt_Amulet_Innos	伊诺斯之恩典	护身符	THGL候选|item_it_at_amulet_innos
ItAt_Amulet_Life	生命力护符	护身符	THGL候选|item_it_at_amulet_life
ItAt_Amulet_Magic_01	魔法护符	护身符	THGL候选|item_it_at_amulet_magic_01
ItAt_Amulet_Magic_02	精神力护符	护身符	THGL候选|item_it_at_amulet_magic_02
ItAt_Amulet_Magicfire	净化护符	护身符	THGL候选|item_it_at_amulet_magicfire
ItAt_Amulet_Neks	亡灵守卫护符	护身符	THGL候选|item_it_at_amulet_neks
ItAt_Amulet_Orc	兽族护身符	护身符	THGL候选|item_it_at_amulet_orc
ItAt_Amulet_OrcMummy	兽人葬仪护符	护身符	THGL候选|item_it_at_amulet_orc_mummy
ItAt_Amulet_Power	伟大护符	护身符	THGL候选|item_it_at_amulet_power
ItAt_Amulet_Projectile	橡木皮肤护符	护身符	THGL候选|item_it_at_amulet_projectile
ItAt_Amulet_Protection	矿石皮肤护符	护身符	THGL候选|item_it_at_amulet_protection
ItAt_Amulet_Ranged	石头皮肤护符	护身符	THGL候选|item_it_at_amulet_ranged
ItAt_Amulet_Strong_01	威力护符	护身符	THGL候选|item_it_at_amulet_strong_01
ItAt_Amulet_Strong_02	力量护符	护身符	THGL候选|item_it_at_amulet_strong_02
ItAt_Amulet_Ulu_Talisman	奇怪的护符	护身符	THGL候选|item_it_at_amulet_ulu_talisman
ItAt_Amulet_Water	水法师信使护符	护身符	THGL候选|item_it_at_amulet_water
ItAt_Amulet_Weapon	铠甲护符	护身符	THGL候选|item_it_at_amulet_weapon
Crw_Armor_H	爬虫板甲	护甲	THGL候选|item_crw_armor_h
Dmb_Armor_M	黑暗法术长袍	护甲	THGL候选|item_dmb_armor_m
Ebr_Armor_H_01	葛梅兹的铠甲	护甲	THGL候选|item_ebr_armor_h_01
Ebr_Armor_H_02	矿石男爵重铠甲	护甲	THGL候选|item_ebr_armor_h_02
Ebr_Armor_M	王国礼袍	护甲	THGL候选|item_ebr_armor_m
Gur_Armor_H	高级导师长袍	护甲	THGL候选|item_gur_armor_h
Gur_Armor_M	导师长袍	护甲	THGL候选|item_gur_armor_m
Kdf_Armor_H	高级火之长袍	护甲	THGL候选|item_kdf_armor_h
Kdf_Armor_L	火之长袍	护甲	THGL候选|item_kdf_armor_l
Kdw_Armor_H	高级水之长袍	护甲	THGL候选|item_kdw_armor_h
Kdw_Armor_L	水之长袍	护甲	THGL候选|item_kdw_armor_l
Law_Armor	法官长袍	护甲	THGL候选|item_law_armor
Ore_Armor_H	改良矿石铠甲	护甲	THGL候选|item_ore_armor_h
Ore_Armor_M	古代矿石铠甲	护甲	THGL候选|item_ore_armor_m
Sfb_Armor_L	矿工装	护甲	THGL候选|item_sfb_armor_l
Vlk_Armor_L	轻薄矿工长裤	护甲	THGL候选|item_vlk_armor_l
Vlk_Armor_M	矿工长裤	护甲	THGL候选|item_vlk_armor_m
ItFo_SeaforestBrew	海林秘酿	食物	THGL候选|item_it_fo_seaforest_brew
ItAt_Meatbug_01	虫肉	食物	THGL候选|item_it_at_meatbug_01
ItFo_Apple	苹果	食物	THGL候选|item_it_fo_apple
ItFo_Cabbage	卷心菜	食物	THGL候选|item_it_fo_cabbage
ItFo_Carrot	胡萝卜	食物	THGL候选|item_it_fo_carrot
ItFo_Cheese	奶酪	食物	THGL候选|item_it_fo_cheese
ItFo_Crawlersoup	爬矿虫汤	食物	THGL候选|item_it_fo_crawlersoup
ItFo_DragonsbreathStew	龙息炖菜	食物	THGL候选|item_it_fo_dragonsbreath_stew
ItFo_Grilledscavenger	烤食尸鸟肉	食物	THGL候选|item_it_fo_grilledscavenger
ItFo_Lemon	柠檬	食物	THGL候选|item_it_fo_lemon
ItFo_Loaf	面包	食物	THGL候选|item_it_fo_loaf
ItFo_Meatbugragout	肉甲虫炖肉	食物	THGL候选|item_it_fo_meatbugragout
ItFo_Meatbugsauteed	香煎肉甲虫	食物	THGL候选|item_it_fo_meatbugsauteed
ItFo_MushroomStew	蘑菇炖菜	食物	THGL候选|item_it_fo_mushroom_stew
ItFo_Mutton_01	烤肉	食物	THGL候选|item_it_fo_mutton_01
ItFo_Mutton_02	火腿	食物	THGL候选|item_it_fo_mutton_02
ItFo_Muttonraw	生肉	食物	THGL候选|item_it_fo_muttonraw
ItFo_Onion	洋葱	食物	THGL候选|item_it_fo_onion
ItFo_Ottostew	布洛克的招牌炖菜	食物	THGL候选|item_it_fo_ottostew
ItFo_Pear	梨	食物	THGL候选|item_it_fo_pear
ItFo_Potato	土豆	食物	THGL候选|item_it_fo_potato
ItFo_Potion_Beer	啤酒	食物	THGL候选|item_it_fo_potion_beer
ItFo_Potion_Booze	米酒	食物	THGL候选|item_it_fo_potion_booze
ItFo_Potion_Strongbeer	浓啤酒	食物	THGL候选|item_it_fo_potion_strongbeer
ItFo_Potion_Water_01	水	食物	THGL候选|item_it_fo_potion_water_01
ItFo_Potion_Wine	葡萄酒	食物	THGL候选|item_it_fo_potion_wine
ItFo_Rice	米	食物	THGL候选|item_it_fo_rice
ItFo_Sausage	香肠	食物	THGL候选|item_it_fo_sausage
ItFo_Soup	根汤	食物	THGL候选|item_it_fo_soup
ItFo_SyraRecipe	希拉的男爵炖汤	食物	THGL候选|item_it_fo_syra_recipe
ItFo_Whitemeat	生白肉	食物	THGL候选|item_it_fo_whitemeat
ItFo_Wineberrys_01	葡萄	食物	THGL候选|item_it_fo_wineberrys_01
ItFo_Plants_Berrys_01	野浆果	草本植物	THGL候选|item_it_fo_plants_berrys_01
ItFo_Plants_Bloodwood_01	铜山毛榉种子	草本植物	THGL候选|item_it_fo_plants_bloodwood_01
ItFo_Plants_Coral	赤棘草	草本植物	THGL候选|item_it_fo_plants_coral
ItFo_Plants_Darkshade	暗影	草本植物	THGL候选|item_it_fo_plants_darkshade
ItFo_Plants_Dewleaf	岩窟露叶	草本植物	THGL候选|item_it_fo_plants_dewleaf
ItFo_Plants_Duskbell	暮钟草	草本植物	THGL候选|item_it_fo_plants_duskbell
ItFo_Plants_Flameberry_01	烈焰棘果	草本植物	THGL候选|item_it_fo_plants_flameberry_01
ItFo_Plants_Herb_01	温和治疗草药	草本植物	THGL候选|item_it_fo_plants_herb_01
ItFo_Plants_Herb_02	治疗草药	草本植物	THGL候选|item_it_fo_plants_herb_02
ItFo_Plants_Herb_03	强效治疗草药	草本植物	THGL候选|item_it_fo_plants_herb_03
ItFo_Plants_Lobelia	皇潮藻	草本植物	THGL候选|item_it_fo_plants_lobelia
ItFo_Plants_Mistcap	雾冠菇	草本植物	THGL候选|item_it_fo_plants_mistcap
ItFo_Plants_Mountainmoss_01	山苔	草本植物	THGL候选|item_it_fo_plants_mountainmoss_01
ItFo_Plants_Mountainmoss_02	墓苔	草本植物	THGL候选|item_it_fo_plants_mountainmoss_02
ItFo_Plants_Mushroom_01	地狱菌	草本植物	THGL候选|item_it_fo_plants_mushroom_01
ItFo_Plants_Mushroom_02	奴隶的面包	草本植物	THGL候选|item_it_fo_plants_mushroom_02
ItFo_Plants_Nightshadow_01	茄科药草	草本植物	THGL候选|item_it_fo_plants_nightshadow_01
ItFo_Plants_Nightshadow_02	颠茄	草本植物	THGL候选|item_it_fo_plants_nightshadow_02
ItFo_Plants_Orcherb_01	橡树叶	草本植物	THGL候选|item_it_fo_plants_orcherb_01
ItFo_Plants_Orcherb_02	兽树叶	草本植物	THGL候选|item_it_fo_plants_orcherb_02
ItFo_Plants_OrcSpore	兽人孢子	草本植物	THGL候选|item_it_fo_plants_orc_spore
ItFo_Plants_Ravenherb_01	渡鸦药草	草本植物	THGL候选|item_it_fo_plants_ravenherb_01
ItFo_Plants_Ravenherb_02	暗色药草	草本植物	THGL候选|item_it_fo_plants_ravenherb_02
ItFo_Plants_Seraphis_01	塞拉菲斯草	草本植物	THGL候选|item_it_fo_plants_seraphis_01
ItFo_Plants_Siren	海妖发丝	草本植物	THGL候选|item_it_fo_plants_siren
ItFo_Plants_Stoneroot_01	石根	草本植物	THGL候选|item_it_fo_plants_stoneroot_01
ItFo_Plants_Stoneroot_02	龙根	草本植物	THGL候选|item_it_fo_plants_stoneroot_02
ItFo_Plants_Trollbane	巨魔克星荨麻	草本植物	THGL候选|item_it_fo_plants_trollbane
ItFo_Plants_Velayis_01	维拉丽丝草	草本植物	THGL候选|item_it_fo_plants_velayis_01
ItFo_Plants_Widow	寡妇面纱	草本植物	THGL候选|item_it_fo_plants_widow
ItMi_Joint_01	青涩入门	草本植物	THGL候选|item_it_mi_joint_01
ItMi_Joint_02	北方黑暗	草本植物	THGL候选|item_it_mi_joint_02
ItMi_Joint_03	梦之呼唤	草本植物	THGL候选|item_it_mi_joint_03
ItMi_Plants_Swampherb_01	沼泽烟草	草本植物	THGL候选|item_it_mi_plants_swampherb_01
ItKe_AbandonedGallery_01	陈列室钥匙	钥匙	THGL候选|item_it_ke_abandoned_gallery_01
ItKe_AbandonedMine_01	废弃矿井钥匙	钥匙	THGL候选|item_it_ke_abandoned_mine_01
ItKe_BanditCell	牢房钥匙	钥匙	THGL候选|item_it_ke_bandit_cell
ItKe_Berg_01	箱子钥匙	钥匙	THGL候选|item_it_ke_berg_01
