Category	Code	Command	Path	Name
护身符	ItAt_Amulet_Brotherhood	Summon /Game/Items/Amulet/BP_ItAt_Amulet_Brotherhood_World.BP_ItAt_Amulet_Brotherhood_World_C	/Game/Items/Amulet/BP_ItAt_Amulet_Brotherhood_World.BP_ItAt_Amulet_Brotherhood_World_C	
护身符	ItAt_Amulet_Dexterity_01	Summon /Game/Items/Amulet/BP_ItAt_Amulet_Dexterity_01_World.BP_ItAt_Amulet_Dexterity_01_World_C	/Game/Items/Amulet/BP_ItAt_Amulet_Dexterity_01_World.BP_ItAt_Amulet_Dexterity_01_World_C	
护身符	ItAt_Amulet_Dexterity_02	Summon /Game/Items/Amulet/BP_ItAt_Amulet_Dexterity_02_World.BP_ItAt_Amulet_Dexterity_02_World_C	/Game/Items/Amulet/BP_ItAt_Amulet_Dexterity_02_World.BP_ItAt_Amulet_Dexterity_02_World_C	
护身符	ItAt_Amulet_Enlight	Summon /Game/Items/Amulet/BP_ItAt_Amulet_Enlight_World.BP_ItAt_Amulet_Enlight_World_C	/Game/Items/Amulet/BP_ItAt_Amulet_Enlight_World.BP_ItAt_Amulet_Enlight_World_C	
护身符	ItAt_Amulet_Fire	Summon /Game/Items/Amulet/BP_ItAt_Amulet_Fire_World.BP_ItAt_Amulet_Fire_World_C	/Game/Items/Amulet/BP_ItAt_Amulet_Fire_World.BP_ItAt_Amulet_Fire_World_C	
护身符	ItAt_Amulet_Innos	Summon /Game/Items/Amulet/BP_ItAt_Amulet_Innos_World.BP_ItAt_Amulet_Innos_World_C	/Game/Items/Amulet/BP_ItAt_Amulet_Innos_World.BP_ItAt_Amulet_Innos_World_C	
护身符	ItAt_Amulet_Life	Summon /Game/Items/Amulet/BP_ItAt_Amulet_Life_World.BP_ItAt_Amulet_Life_World_C	/Game/Items/Amulet/BP_ItAt_Amulet_Life_World.BP_ItAt_Amulet_Life_World_C	
护身符	ItAt_Amulet_Magic_01	Summon /Game/Items/Amulet/BP_ItAt_Amulet_Magic_01_World.BP_ItAt_Amulet_Magic_01_World_C	/Game/Items/Amulet/BP_ItAt_Amulet_Magic_01_World.BP_ItAt_Amulet_Magic_01_World_C	
护身符	ItAt_Amulet_Magic_02	Summon /Game/Items/Amulet/BP_ItAt_Amulet_Magic_02_World.BP_ItAt_Amulet_Magic_02_World_C	/Game/Items/Amulet/BP_ItAt_Amulet_Magic_02_World.BP_ItAt_Amulet_Magic_02_World_C	
护身符	ItAt_Amulet_Magicfire	Summon /Game/Items/Amulet/BP_ItAt_Amulet_Magicfire_World.BP_ItAt_Amulet_Magicfire_World_C	/Game/Items/Amulet/BP_ItAt_Amulet_Magicfire_World.BP_ItAt_Amulet_Magicfire_World_C	
护身符	ItAt_Amulet_Neks	Summon /Game/Items/Amulet/BP_ItAt_Amulet_Neks_World.BP_ItAt_Amulet_Neks_World_C	/Game/Items/Amulet/BP_ItAt_Amulet_Neks_World.BP_ItAt_Amulet_Neks_World_C	
