English	简体中文
Nameless Hero	无名英雄
Aaron	亚伦
Aidan	艾丹
Alberto	阿尔贝托
Aleph	阿勒夫
Arlin	阿林
Arto	阿托
Asghan	阿斯甘
Baal Cadar	巴尔·卡达尔
Baal Isidro	巴尔·伊西德罗
Baal Kagan	巴尔·卡甘
Baal Lukor	巴尔·卢科尔
Baal Namib	巴尔·纳米布
Baal Netbek	巴尔·内特贝克
Baal Orun	巴尔·奥伦
Baal Parvez	巴尔·帕尔维兹
Baal Taran	巴尔·塔兰
Baal Tondral	巴尔·通德拉尔
Baal Tyon	巴尔·泰昂
Balam	巴拉姆
Balor	巴洛尔
Baloro	巴洛罗
Bartholo	巴托洛
Blackmailer	敲诈者
Blade	布莱德
Bloodwyn	布拉德温
Brandick	布兰迪克
Brannok	布兰诺克
Bruce	布鲁斯
Bullit	布利特
Buster	巴斯特
Butch	布奇
Caine	凯恩
Cavalorn	卡瓦洛恩
Chani	查尼
Chokta	乔克塔
Cipher	赛弗
Cohsel	科塞尔
Companion Wolf	随行狼
Cor Angar	科尔·安加尔
Cor Kalom	科尔·卡洛姆
Cord	科德
Corristo	科里斯托
Cronos	克罗诺斯
Cutter	卡特
Damarok	达马罗克
Darrion	达里昂
Demo Hunter	演示版猎人
Dexter	德克斯特
Diego	迭戈
Drago	德拉戈
Drake	德雷克
Drax	德拉克斯
Dusty	达斯蒂
Fingers	芬格斯
Fisk	菲斯克
Fletcher	弗莱彻
Fortuno	福图诺
Garp	加普
Ghorim	戈里姆
Gilbert	吉尔伯特
Glen	格伦
Gomez	戈麦斯
Gor Boba	戈尔·博巴
Gor Hanis	戈尔·哈尼斯
Gor Na Bar	戈尔纳·巴尔
Gor Na Drak	戈尔纳·德拉克
Gor Na Dun	戈尔纳·敦
Gor Na Kosh	戈尔纳·科什
Gor Na Ran	戈尔纳·兰
Gor Na Toth	戈尔纳·托特
Gor Na Vid	戈尔纳·维德
Gor Na Zar	戈尔纳·扎尔
Gorn	戈恩
Graham	格雷厄姆
Gravo	格拉沃
Grazkrak	格拉兹克拉克
Grim	格里姆
Grimes	格莱姆斯
Guy	盖伊
Haenno	海诺
Harlok	哈洛克
Herek	赫雷克
Homer	霍默
Horatio	霍雷肖
Huno	胡诺
Ian	伊恩
Jackal	杰卡尔
Jacko	杰科
Jan	扬
Jarvis	贾维斯
Jeremiah	杰里迈亚
Jesse	杰西
Joru	乔鲁
Kalom Bodyguard	卡洛姆的保镖
Kharim	卡里姆
Killian	基利安
Kirgo	基尔戈
Krashok	克拉肖克
Kyle	凯尔
Lares	拉雷斯
Lee	李
Lefty	莱夫蒂
Lester	莱斯特
Mad Cor Kalom	疯狂的科尔·卡洛姆
Malon	马隆
Melvin	梅尔文
Merdarion	梅达里昂
Milten	米尔顿
Mordrag	莫德拉格
Mud	马德
Muk	穆克
Myxir	米克希尔
Natalia	娜塔莉亚
Nefarius	内法里乌斯
Nek	内克
Nyras	奈拉斯
Okyl	奥基尔
Omid	奥米德
Orik	奥里克
Orry	奥里
Pacho	帕乔
Pock	波克
Quentin	昆廷
Quest Dealer	任务商人
Ratford	拉特福德
Raven	雷文
Rayk	雷克
Renyu	仁宇
Rice Lord	稻田主
Riordian	里奥迪安
Rodriguez	罗德里格斯
Roscoe	罗斯科
Rufus	鲁弗斯
Santino	桑蒂诺
Saturas	萨图拉斯
Scar	斯卡尔
Scatty	斯卡蒂
Scorpio	斯科皮奥
Senyan	森扬
Seraphia	塞拉菲娅
Sharky	沙基
Shrat	施拉特
Shrike	施赖克
Silas	赛拉斯
Skip	斯基普
Sly	斯莱
Snaf	斯纳夫
Snipes	斯奈普斯
Specki	斯佩基
Stone	斯通
Swiney	斯威尼
Syra	赛拉
Talas	塔拉斯
Tarrok	塔罗克
Theron	塞伦
Thorus	托鲁斯
To-Churnagg	托·丘尔纳格
Torik	托里克
Torlof	托洛夫
Torrez	托雷兹
Ulbert	乌尔伯特
Ulmar	乌尔玛
Umakhal	乌玛哈尔
Umosh	乌莫什
Ur-Nazkrog	乌尔·纳兹克罗格
Ur-Shak	乌尔·沙克
Van Lange	范·兰格
Velaya	维拉娅
Viper	毒蛇
Viran	维兰
Wedge	韦奇
Whistler	惠斯勒
Wolf	沃尔夫
Xardas	克萨达斯
Y'Berion	伊·贝里恩
