Id	GroupZh	GroupEn	NameZh	NameEn	X	Y	Z
tp001	旧城	Old Camp	旧城-床	Old Camp - Bed	104623	-97132	-4655
tp002	旧城	Old Camp	旧城-莫德拉格	Old Camp - Mordrag	108528	-105875	-5174
tp003	旧城	Old Camp	旧城-菲斯克+德克斯特	Old Camp - Fisk + Dexter	112602	-106795	-5252
tp004	旧城	Old Camp	旧城-惠斯勒	Old Camp - Whistler	116413	-106566	-4964
tp005	旧城	Old Camp	旧城-史莱+布拉德温	Old Camp - Sly + Bloodwyn	118927	-102264	-4331
tp006	旧城	Old Camp	旧城-巴尔.塔克+格雷姆	Old Camp - Baal Tuck + Grem	118969	-99470	-4388
tp007	旧城	Old Camp	旧城-迪亚哥+索拉斯+格林	Old Camp - Diego + Soras + Grim	115116	-99301	-4487
tp008	旧城	Old Camp	旧城-斯纳夫（厨师）	Old Camp - Snaf (Cook)	111985	-98025	-4917
tp009	旧城	Old Camp	旧城-格拉沃	Old Camp - Gravo	118025	-99979	-4861
tp010	沼泽	Swamp Camp	沼泽-巴尔.卡达尔	Swamp Camp - Baal Cadar	43723	-118441	-8783
tp011	沼泽	Swamp Camp	沼泽-梅尔文+巴尔.汤德拉尔	Swamp Camp - Melvin + Baal Tondral	40703	-119600	-8755
tp012	沼泽	Swamp Camp	沼泽-床	Swamp Camp - Bed	38683	-118929	-8913
tp013	沼泽	Swamp Camp	沼泽-戈尔.纳.顿/托斯+科尔-安加尔	Swamp Camp - Gor Na Don / Toth + Cor Angar	38537	-121110	-8548
tp014	沼泽	Swamp Camp	沼泽-最高点/床	Swamp Camp - Highest Point / Bed	42997	-118915	-6033
tp015	沼泽	Swamp Camp	沼泽-巴尔.泰翁	Swamp Camp - Baal Tyon	45466	-112543	-8738
tp016	沼泽	Swamp Camp	沼泽-塔拉斯+戈尔.纳.扎尔	Swamp Camp - Talas + Gor Na Zal	47516	-112665	-8759
tp017	沼泽	Swamp Camp	沼泽-塞隆-海滩	Swamp Camp - Seron - Beach	42048	-105805	-8765
tp018	沼泽	Swamp Camp	沼泽-达利昂	Swamp Camp - Darrion	40280	-116484	-8685
tp019	旧城	Old Camp	旧城-斯卡蒂（竞技场）	Old Camp - Scatty (Arena)	107771	-100152	-5298
tp020	旧城	Old Camp	旧城-胡诺（铁匠）	Old Camp - Huno (Blacksmith)	105075	-101136	-4458
tp021	野外	Wilderness	野外-拉特福德+德拉克斯	Wilderness - Ratford + Drax	118510	-83534	-4857
tp022	旧城	Old Camp	旧城-北桥头	Old Camp - North Bridgehead	123320	-89480	-4868
tp023	野外	Wilderness	野外-矿洞	Wilderness - Mine	137908	-79077	-4784
tp024	旧矿井	Old Mine	旧矿井-大门	Old Mine - Main Gate	145754	-68863	-3434
tp025	旧矿井	Old Mine	旧矿井-戈尔.纳.德拉克（早上）	Old Mine - Gor Na Drak (Morning)	143423	-68907	-3292
tp026	旧矿井	Old Mine	旧矿井-桑迪诺	Old Mine - Santino	135318	-59603	-4005
tp027	旧矿井	Old Mine	旧矿井-斯奈普斯+阿伦	Old Mine - Snipes + Aaron	135713	-61445	-6383
tp028	旧矿井	Old Mine	旧矿井-伊恩+阿尔贝托	Old Mine - Ian + Alberto	133257	-60346	-8243
tp029	旧矿井	Old Mine	旧矿井-维佩尔（矿底）	Old Mine - Viper (Bottom)	133770	-59389	-12223
tp030	旧矿井	Old Mine	旧矿井-阿斯甘	Old Mine - Asghan	130601	-65004	-12290
tp031	野外	Wilderness	野外-瀑布（左上角）	Wilderness - Northwest Waterfall	158604	-69091	-2465
tp032	旧城	Old Camp	旧城-芬格斯	Old Camp - Fingers	110386	-99601	-4540
tp033	沼泽	Swamp Camp	沼泽-科尔卡隆+凯恩	Swamp Camp - Cor Kalom + Caine	41832	-117325	-7709
tp034	野外	Wilderness	野外-西北路口	Wilderness - Northwest Crossroads	123528	-107513	-4645
tp035	野外	Wilderness	野外-卡瓦隆（收书）	Wilderness - Cavalorn (Book Collection)	130211	-98851	-5148
tp036	野外	Wilderness	野外-艾丹	Wilderness - Aidan	142763	-98433	-3877
tp037	野外	Wilderness	野外-湖边废村	Wilderness - Abandoned Lakeside Village	154899	-98711	-3007
tp038	新营地	New Camp	新营地-乌玛	New Camp - Uma	161148	-87699	-1667
tp039	新营地	New Camp	新营地-贾维斯	New Camp - Jarvis	168837	-86501	-48
tp040	新营地	New Camp	新营地-霍默 /大坝	New Camp - Homer / Dam	169159	-89186	119
tp041	新营地	New Camp	新营地-酒馆	New Camp - Tavern	176043	-88388	69
tp042	新营地	New Camp	新营地-巴斯特 / Buster	New Camp - Buster	176064	-101568	-362
tp043	新营地	New Camp	新营地-寇德 / Cord	New Camp - Cord	180009	-96650	-528
tp044	新营地	New Camp	新营地-赖瑞思+罗斯科	New Camp - Lares + Roscoe	173432	-100400	-205
tp045	新营地	New Camp	新营地-沙尔基 / Sharky	New Camp - Sharky	175590	-99070	-1430
tp046	新营地	New Camp	新营地-高恩	New Camp - Gorn	178747	-95548	-940
tp047	沼泽	Swamp Camp	沼泽-塞隆 /悬崖	Swamp Camp - Seron / Cliff	43537	-104149	-7678
tp048	新营地	New Camp	新营地-床	New Camp - Bed	176420	-96013	-1435
tp049	旧城	Old Camp	旧城-葛梅兹+塞拉菲亚+阿托+斯卡尔	Old Camp - Gomez + Seraphia + Arto + Scar	114040	-104954	-3793
tp050	旧城	Old Camp	旧城-卡特	Old Camp - Katt	110894	-101341	-3651
tp051	旧城	Old Camp	旧城-托雷兹+罗格里格斯	Old Camp - Torrez + Rodriguez	111720	-103859	-3710
tp052	旧城	Old Camp	旧城-地窖	Old Camp - Cellar	100445	-110570	-4038
tp053	沼泽	Swamp Camp	沼泽-弗图诺+哈洛克（草药）	Swamp Camp - Fortuno + Harlok (Herbs)	41963	-115901	-8831
tp054	沼泽	Swamp Camp	沼泽-莱斯特 / Lester	Swamp Camp - Lester	50044	-118220	-8729
tp055	野外	Wilderness	野外-奥力矿洞入口	Wilderness - Ore Mine Entrance	105003	-69243	2276
tp056	野外	Wilderness	野外-废弃矿洞	Wilderness - Abandoned Mine	95993	-74078	557
tp057	野外	Wilderness	野外-凯恩尸体	Wilderness - Caine's Corpse	94744	-74550	651
tp058	沼泽	Swamp Camp	沼泽-伊贝里恩	Swamp Camp - Y'Berion	52402	-104201	-7966
tp059	野外	Wilderness	野外-废墟东边	Wilderness - East of the Ruins	59752	-103157	-3476
tp060	野外	Wilderness	野外-高崖马桶	Wilderness - High Cliff Toilet	46216	-98584	-5370
tp061	旧城	Old Camp	旧城-布利特	Old Camp - Bullit	111928	-100304	-3662
tp062	野外	Wilderness	野外-十字路口	Wilderness - Crossroads	80962	-109831	-3153
tp063	旧矿井	Old Mine	旧矿井-楼梯	Old Mine - Stairs	135189	-54492	-10834
tp064	旧矿井	Old Mine	旧矿井-蜘蛛隧道中层	Old Mine - Minecrawler Tunnel Mid-Level	134556	-57003	-9459
tp065	旧矿井	Old Mine	旧矿井-齿轮任务	Old Mine - Gear Quest	137242	-63697	-10771
tp066	野外	Wilderness	野外-科赛尔（驯兽）	Wilderness - Kosel (Taming)	134841	-102253	-4093
tp067	沼泽	Swamp Camp	沼泽-神庙	Swamp Camp - Temple	50369	-106509	-8200
tp068	野外	Wilderness	野外-兽人墓地入口	Wilderness - Orc Cemetery Entrance	77711	-125132	-315
tp069	野外	Wilderness	野外-兽人墓地峡谷内	Wilderness - Orc Cemetery Canyon	65867	-130096	-963
tp070	野外	Wilderness	野外-墓地内	Wilderness - Inside the Cemetery	74118	-140981	-3100
tp071	野外	Wilderness	野外-南部高塔通道	Wilderness - Southern High Tower Passage	88127	-134950	3298
tp072	旧城	Old Camp	旧城-斯基普（武器商）	Old Camp - Skip (Weapons Merchant)	108685	-100830	-3645
tp073	旧矿井	Old Mine	旧矿井-母体	Old Mine - Minecrawler Queen	125571	-52756	-12614
tp074	旧矿井	Old Mine	旧矿井-湖对岸	Old Mine - Opposite Shore	184986	-80290	24
tp075	新营地	New Camp	新营地-大坝潜伏兽	New Camp - Dam Lurker	175126	-79789	239
tp076	野外	Wilderness	野外-前往任务地点	Wilderness - Quest Destination	87761	-103259	-3585
tp077	野外	Wilderness	野外-水法师入口	Wilderness - Water Mages Entrance	181649	-99546	-79
tp078	兽人	Orc Territory	兽人-领地大门	Orc Territory - Main Gate	126237	-115086	-3161
tp079	野外	Wilderness	野外-南部高塔瞭望点	Wilderness - Southern High Tower Lookout	92520	-139119	3929
tp080	野外	Wilderness	野外-南部高塔花园	Wilderness - Southern High Tower Garden	91252	-143405	3915
tp081	野外	Wilderness	野外-灯塔（主线）	Wilderness - Lighthouse (Main Quest)	74928	-85404	-3225
tp082	野外	Wilderness	野外-灯塔地洞大门（主线）	Wilderness - Lighthouse Cave Gate (Main Quest)	79229	-91448	-6227
tp083	野外	Wilderness	野外-灯塔地洞梯子	Wilderness - Lighthouse Cave Ladder	77415	-91533	-6228
tp084	野外	Wilderness	野外-灯塔地洞祭坛	Wilderness - Lighthouse Cave Altar	77508	-93407	-6676
tp085	野外	Wilderness	野外-灯塔地洞祭坛海底出口	Wilderness - Lighthouse Cave Underwater Exit	62342	-90041	-9026
tp086	野外	Wilderness	野外-火蜥蜴沙滩	Wilderness - Fire Lizard Beach	69235	-84726	-8060
tp087	野外	Wilderness	野外-南部高塔高山堡垒	Wilderness - Southern High Tower Mountain Fortress	86854	-145523	5772
tp088	野外	Wilderness	野外-南部高塔暗道	Wilderness - Southern High Tower Secret Passage	87046	-148052	7249
tp089	野外	Wilderness	野外-南部高塔床	Wilderness - Southern High Tower Bed	87422	-147642	7816
tp090	野外	Wilderness	野外-巨石阵	Wilderness - Stone Circle	147700	-118149	-550
tp091	野外	Wilderness	野外-废塔	Wilderness - Ruined Tower	131443	-103708	-4562
tp092	野外	Wilderness	野外-右上庭院	Wilderness - Northeast Courtyard	85200	-70898	-3539
tp093	野外	Wilderness	野外-右上庭院聚魔石	Wilderness - Northeast Courtyard Focus Stone	76879	-64246	-4628
